cohort,threshold,strategy,net_benefit,n,events,analysis_type
METABRIC,0.25,Pathway ML,-0.004871259568545588,1916,426,exploratory_secondary
METABRIC,0.25,Cox baseline,-0.010612386917188577,1916,426,exploratory_secondary
METABRIC,0.25,PAM50-ROR,-0.03688239387613079,1916,426,exploratory_secondary
METABRIC,0.275,Treat all,-0.07263695918220431,1916,426,exploratory_secondary
METABRIC,0.275,Treat none,0.0,1916,426,exploratory_secondary
METABRIC,0.275,Pathway ML,-0.03111727017493346,1916,426,exploratory_secondary
METABRIC,0.275,Cox baseline,-0.026222014253833414,1916,426,exploratory_secondary
METABRIC,0.275,PAM50-ROR,-0.07263695918220431,1916,426,exploratory_secondary
METABRIC,0.3,Treat all,-0.11094542201014018,1916,426,exploratory_secondary
METABRIC,0.3,Treat none,0.0,1916,426,exploratory_secondary
METABRIC,0.3,Pathway ML,-0.05927527587235315,1916,426,exploratory_secondary
METABRIC,0.3,Cox baseline,-0.04145541306292874,1916,426,exploratory_secondary
METABRIC,0.3,PAM50-ROR,-0.11094542201014018,1916,426,exploratory_secondary
METABRIC,0.325,Treat all,-0.15209154875125652,1916,426,exploratory_secondary
METABRIC,0.325,Treat none,0.0,1916,426,exploratory_secondary
METABRIC,0.325,Pathway ML,-0.08977035490605428,1916,426,exploratory_secondary
METABRIC,0.325,Cox baseline,-0.05107090388927546,1916,426,exploratory_secondary
METABRIC,0.325,PAM50-ROR,-0.15209154875125647,1916,426,exploratory_secondary
METABRIC,0.35,Treat all,-0.19640276216476632,1916,426,exploratory_secondary
METABRIC,0.35,Treat none,0.0,1916,426,exploratory_secondary
METABRIC,0.35,Pathway ML,-0.02738076120122048,1916,426,exploratory_secondary
METABRIC,0.35,Cox baseline,-0.05933836518387664,1916,426,exploratory_secondary
METABRIC,0.35,PAM50-ROR,0.0050987634494941425,1916,426,exploratory_secondary
METABRIC,0.375,Treat all,-0.24425887265135698,1916,426,exploratory_secondary
METABRIC,0.375,Treat none,0.0,1916,426,exploratory_secondary
METABRIC,0.375,Pathway ML,-0.03611691022964509,1916,426,exploratory_secondary
METABRIC,0.375,Cox baseline,-0.05688935281837158,1916,426,exploratory_secondary
METABRIC,0.375,PAM50-ROR,0.0,1916,426,exploratory_secondary
METABRIC,0.4,Treat all,-0.2961029923451636,1916,426,exploratory_secondary
METABRIC,0.4,Treat none,0.0,1916,426,exploratory_secondary
METABRIC,0.4,Pathway ML,-0.0372303409881698,1916,426,exploratory_secondary
METABRIC,0.4,Cox baseline,-0.0662839248434238,1916,426,exploratory_secondary
METABRIC,0.4,PAM50-ROR,0.0,1916,426,exploratory_secondary
METABRIC,0.425,Treat all,-0.3524552963601706,1916,426,exploratory_secondary
METABRIC,0.425,Treat none,0.0,1916,426,exploratory_secondary
METABRIC,0.425,Pathway ML,-0.04749478079331943,1916,426,exploratory_secondary
METABRIC,0.425,Cox baseline,-0.06848506853045296,1916,426,exploratory_secondary
METABRIC,0.425,PAM50-ROR,0.0,1916,426,exploratory_secondary
