run,feature,importance,rank
49,age_at_dx,-0.0021551724137931494,8.0
49,stage_ordinal,0.0,5.0
50,Pathway_Immune,-0.004310344827586188,7.0
50,Pathway_Proliferation,0.0,4.5
50,Pathway_DNA_Repair,-0.005747126436781658,8.0
50,Pathway_Metabolism,0.0,4.5
50,Pathway_Stromal_EMT,-0.010057471264367845,9.0
50,Pathway_Apoptosis_Stress,0.0,4.5
50,Pathway_Hormone,0.0818965517241379,2.0
50,age_at_dx,0.14295977011494254,1.0
50,stage_ordinal,0.0,4.5
51,Pathway_Immune,0.0,6.0
51,Pathway_Proliferation,0.0,6.0
51,Pathway_DNA_Repair,-0.0276967930029155,9.0
51,Pathway_Metabolism,0.0,6.0
51,Pathway_Stromal_EMT,0.0,6.0
51,Pathway_Apoptosis_Stress,0.0,6.0
51,Pathway_Hormone,0.04373177842565601,1.0
51,age_at_dx,0.030612244897959107,2.0
51,stage_ordinal,0.005830903790087438,3.0
52,Pathway_Immune,0.0,6.0
52,Pathway_Proliferation,0.0,6.0
52,Pathway_DNA_Repair,-0.045189504373177924,9.0
52,Pathway_Metabolism,0.0,6.0
52,Pathway_Stromal_EMT,0.004373177842565523,3.0
52,Pathway_Apoptosis_Stress,0.0,6.0
52,Pathway_Hormone,0.11297376093294453,1.0
52,age_at_dx,0.042274052478134094,2.0
52,stage_ordinal,0.0,6.0
53,Pathway_Immune,0.0,5.0
53,Pathway_Proliferation,-0.0061823802163832875,7.0
53,Pathway_DNA_Repair,0.028593508500772802,2.0
53,Pathway_Metabolism,-0.030139103554868596,8.0
53,Pathway_Stromal_EMT,-0.08191653786707875,9.0
53,Pathway_Apoptosis_Stress,0.0,5.0
53,Pathway_Hormone,0.1228748068006183,1.0
53,age_at_dx,0.02782071097372496,3.0
53,stage_ordinal,0.0,5.0
54,Pathway_Immune,0.0,6.5
54,Pathway_Proliferation,0.005822416302765587,4.0
54,Pathway_DNA_Repair,-0.02547307132459975,9.0
54,Pathway_Metabolism,0.0,6.5
54,Pathway_Stromal_EMT,0.008005822416302766,3.0
54,Pathway_Apoptosis_Stress,0.0,6.5
54,Pathway_Hormone,0.11644832605531291,1.0
54,age_at_dx,0.011644832605531286,2.0
54,stage_ordinal,0.0,6.5
55,Pathway_Immune,0.0,5.5
55,Pathway_Proliferation,0.0,5.5
55,Pathway_DNA_Repair,-0.031013615733736732,9.0
55,Pathway_Metabolism,0.0,5.5
55,Pathway_Stromal_EMT,-0.021936459909228434,8.0
55,Pathway_Apoptosis_Stress,0.0,5.5
55,Pathway_Hormone,0.01739788199697434,2.0
55,age_at_dx,0.031013615733736732,1.0
55,stage_ordinal,0.0113464447806354,3.0
56,Pathway_Immune,0.0,6.0
56,Pathway_Proliferation,0.0,6.0
56,Pathway_DNA_Repair,0.06506364922206498,1.0
56,Pathway_Metabolism,-0.00777934936350777,9.0
56,Pathway_Stromal_EMT,0.0,6.0
56,Pathway_Apoptosis_Stress,0.0,6.0
56,Pathway_Hormone,0.05940594059405935,2.0
56,age_at_dx,0.03960396039603953,3.0
56,stage_ordinal,0.0,6.0
57,Pathway_Immune,0.0,6.0
57,Pathway_Proliferation,0.0,6.0
57,Pathway_DNA_Repair,0.04813218390804608,1.0
57,Pathway_Metabolism,0.0,6.0
57,Pathway_Stromal_EMT,0.0,6.0
57,Pathway_Apoptosis_Stress,0.0,6.0
57,Pathway_Hormone,0.031609195402298895,3.0
57,age_at_dx,0.035201149425287404,2.0
57,stage_ordinal,-0.03448275862068961,9.0
58,Pathway_Immune,0.0,7.0
58,Pathway_Proliferation,0.0,7.0
58,Pathway_DNA_Repair,0.035220994475138045,2.0
58,Pathway_Metabolism,0.0,7.0
58,Pathway_Stromal_EMT,0.0,7.0
58,Pathway_Apoptosis_Stress,0.0,7.0
58,Pathway_Hormone,0.015193370165745845,4.0
58,age_at_dx,0.10428176795580102,1.0
58,stage_ordinal,0.018646408839778972,3.0
59,Pathway_Immune,0.0,5.5
59,Pathway_Proliferation,0.0,5.5
59,Pathway_DNA_Repair,0.06321839080459768,1.0
59,Pathway_Metabolism,0.0,5.5
59,Pathway_Stromal_EMT,-0.013649425287356354,8.0
59,Pathway_Apoptosis_Stress,0.0,5.5
59,Pathway_Hormone,0.04238505747126431,2.0
59,age_at_dx,-0.0237068965517242,9.0
59,stage_ordinal,0.007902298850574696,3.0
60,Pathway_Immune,-0.023099850968703373,9.0
